review,overall rating
It was amazing service. Our Server was really kind and super nice! :),4
Amazing staff...we were greeted by two people upon entering. Great food and service.,4
"Patio ambiance was great on a hot summer late afternoon. 
Food, and drinks were great, although a bit pricey.
Service was excellent!",3
"We used to like the Jolly Miller but the last two times we have been there the food has been, quite frankly, dreadful. Yesterday we ordered fish and chips, what could possibly go wrong?  Well, the fish was minuscule barely two bites. The chips were impossibly soggy and there was a large glop of friend onion on the plate that ruined the dish completely. Also the cost is jaw-dropping even in this hyper inflationary period we find ourselves.

We will not be returning,",1
"Ambiance is beautiful, food is good however pricy and same as the wine per glass. 
Service is nice",3
Overall pretty decent. Lots of Reno’s since I was there last.,3
Big Wasp/Bee issues on the outdoor patio made it difficult to enjoy our yummy meals.  The charcuterie board to start was very good great way to start with a nice glass of wine. But pretty pricey for lunch. burger was $29!  Our Waiter was wonderful.,4
one of the nicest patios with trees and flowers.  Wheelchair access,3
"Had the 12oz strip, and it beautifully tender and cooked to perfection!!!  Server was wonderful. Would definitely eat there again!",4
"Lovely meal.
Portions a little large.
Would recommend it highly!",4
Overall good experience. However it was a bit cold for the patio. Biggest issue is there was a RAT running around on the patio,2
"The music was too loud. Food e good. Server was excellent, run off his feet. Unfortunately had to skip dessert.",3
"The new renovations are amazing, same delicious food and the service was impeccable",4
"Our visit was a great success.  The food, wine and ambiance were super.  The wine was a pleasant surprise - excellent for money.  Thank you and keep up the good work.",4
This is one of our favourite places to go! No surprise that it was the same great dining restaurant as always. Great service and delicious food! Will be back,4
"Great place, a bit pricy for the quality of the food.",4
Thank you for the great food and service.,4
"Quite busy on Sunday evening—large parties on the lower patio and the lone waiter was overwhelmed. Took considerable time to get the bottle of wine, then quite a wait to order, once order arrived I poured our wine throughout the meal, was never asked how things were and after one coffee a bill arrived. Have always given 5 stars but not this time.",2
Everything was absolutely awesome!!! Many thanks!!,4
"Food, as always, was fantastic.  I do need to mention that our server was amazing, so lovely and attentive, would love to be able to request him on our next visit",4
The food and service very good. Asked for a capuccino but it was just light coffee with some foam at the top They should serve Capuchino made the traditional way.,4
"Beautiful outdoor patio except for annoying wasps. We had to move indoors. We enjoyed our lunch. I had the Potebello Burger which was delicious. The service was good. The downstairs renos are outstanding, a big improvement.",4
"We have come often in previous years for the hamburgers. This time,  hamburgers were smaller than previous, over cooked, tasteless and dry despite being asked for medium cooked. The fries were cold. Completely overpriced and a not only a waste of money but an embarrassment to our guests.
The service was excellent however.",0
Great food. Amazing service. Great ambiance. Will be going back !,4
The porterhouse was delicious but the sides were lacking. Mac cheese with crab had very little crab.,3
"We went for appetizers and the menu was limited 
For different tastes - and over priced 
Overall- place did not cater to different occasion- prices are too high for a casual place",0
Enjoyed the reno.  Menu prices were steep.  Was told there were no window balcony tables available and the watched empty tables out there never filled while we dined which was disappointing.  Our server was good but very busy so we had long gaps between refilling our drinks.,2
"It was horrible they called us that will be raining and they will give us balcony seat but then when we went they offered very bad table and we said we’ve been offered balcony they said no we don’t have we left and no one even said sorry,second time we gave them Chance horrible service",0
Nicely remodeled. great food (but not cheap). Will be back.,4
"Quite expensive for entrees.  Lunch ended at 3 p.m. had to order from dinner menu. Glass of Canadian wine expensive. Escargot tasteless. 

Lovely spot, really convenient parking. Very attentive service.",2
Service was friendly but not intrusive. Food was excellent.,4
"A beautiful patio and a favourite outdoor patio. Our server was friendly and helpful. However, our food took too long. 45+ minutes for macaroni and cheese and sandwiches.
We also felt $18.00 for a bloody ceaser over the top!",2
"Selection of oysters was limited. French fries came a bit overdone on a dry side. Drinks, my Dry Martini and a Cosmo, were quite good, would give it 8 out of 10.
On a separate note, as it  becomes rather cool after 8pm, there is some wind draft effect on the veranda...may be consider stopping the ceiling fans after 8.30pm.",3
"Good food, except I don't like and DID NOT book sitting outside.",4
Great experience and service.  Watress was extremely attentive and food was excellent.,4
"Very friendly staff, the food is great and always consistent! Great patio for the summer 🙌🏽",4
"Nice atmosphere, very good service, good food, very overpriced.",3
"Lovely rooms and patio (which is huge). The food was solid - French onion soup was terrific, the steak was good, but a bit more cooked than the medium rare we asked for.",3
Service was outstanding. Great food and wine selection. Great experience!,4
"Disappointed with the food, cold french fries, awful cole slaw, fish was pretty good. Service was fine, location was good. In the upstairs balcony area the noise level was so high it was difficult to have a conversation.",2
The fries was stale and dry .. The Tuna tartar was awful ( strong fishy taste),2
"Love this place. 
Only thing is that the server was not very friendly or professional, and when it came time to pay, she automatically set the machine to give herself a 20% tip. The costumer should be able to make the choice not the server.",4
"It was the first time we took my dad to a restaurant since he has needed a walker/wheelchair. The staff were so kind, accommodating and helpful. They made us feel so welcome. The food was also wonderful and the whole atmosphere. We all had a lovely, memorable time.",4
A bit tired of the lunch menu. Maybe some new choices?,3
"This was the first time having lunch at the The Miller and found it very enjoyable.
My friends and I will surely come back again.  The patio was delightful and the food was good.",3
"Our waiter went above and beyond to serve us and the whole patio, exceptional service despite being short staffed. He was the only waiter we saw. The food was late but delicious whey we were finally served.  I’m assuming the kitchen was also short staffed.",4
"We sat in the patio and it was stunning.  Enough space between tables for privacy and quiet 
Food was excellent as was the service 
It’s a regular place for me",4
"Accommodated change in reservation.  
Friendly and competent staff",4
Went for last minute drinks with the girls for a friend’s bday. Only a few of us drink so wasn’t sure how we’d get treated. Server couldn’t have been nicer. Had fries for the table - they were crisp and nicely seasoned. They put a candle in sorbet for my friend as she’s gluten-free.,4
"It was a lovely, quiet dinner. The food was great and the service was great! We have been there before and it is always consistently good. ￼",4
Price is a bit high for what you get and for a tavern,4
"Welcomed by the host outside upon arrival, enjoyed a meal on the patio to celebrate my aunts birthday.  The multi layers patio with pergolas and string lights created a beautiful and relaxing ambiance.  The meal was delicious but a bit pricy.  Service was great and was surprised with a dessert for my aunt birthday.  Overall great experience and highly recommend.",3
"Beautiful Patio, friendly service and the best cob salad value in the city. 
Chicken is roasted and tender, nice size pieces. Overall excellent salad for the $$$",3
A perfect spot for a quality lunch or dinner - great food and surroundings and attentive serving staff as well as convenient parking.,4
"Professional knowledgeable server, lovely patio ambience",3
"food, especially the french fries, not as good as in previous experience.",2
The food was great.  However the service was quite slow.  I dine at miller frequently and I think it was short staffed for the long weekend.,3
"Our waiter Andrew was excellent, the food was fantastic and the location/atmosphere was second to none. Looking forward to next time",4
Fantastic location with excellent service and quality food - highly recommended,4
"Excellent service and food. Love the patio.
Attentive server. Ilan is an outstanding chef.",4
Excellent service and a menu that had  variety. The food served was excellent,4
"Love this restaurant, location, food, ambiance, everything!",4
"Amazing atmosphere, spectacular service and fantastic food",4
"Great renovations, the ambience is amazing! menu and food quality are 5*
Andrew and Dave were wonderful! 
Thanks a lot!",4
Katie was an amazing server. We will definitely come back. Love the patio! Food was great as usual.,4
"Great location but some servers disappoint experience 
Server very slow , messed up order served apps with dinner 
too long to get check to table.",2
"It was a beautiful setting on the glass patio. We had the Cobb salads - the best I've ever had. Service was smart, friendly and perfectly timed.

Thank you for a great experience!

Andrew Harvie",4
"Had to ask for music to be turned down.
Host made flippant remark.",3
The patio was lovely.  The food was pricey but good.  The service was very pleasant.  My only complaint was that the bloody Caesar I had was served in a very small glass that narrowed at the bottom.  It was filled 3/4 full of ice with very little actual drink in it.  It seemed like it was really just a glass full of ice.,3
The food was very mediocre. The strip loin was tough and the peppercorn sauce tasted artificial. The food was exceedingly overpriced. The only reason we went is for their magnificent patio but that wasn’t enough to make up for a $30 glass of average wine.,2
Thank you for helping us celebrate our family Bday and Anniversary.  Always superb meal and venue in North York.  David was so attentive and helpful.  Hope to return soon! Everyone loved the ambiance of the patio,4
Excellent staff and service! The food taste and quality was also good.,4
Great ambience and decor. It was raining so we couldn't sit outside but we would love to return to experience the patio.,4
I’ve been there before and I was very impressed with the place after renovations were completed. Very classy I’d say,4
Loved the food! Tuna tartare was particularly outstanding and adored the cute outdoor setup.,3
"The new look, menu and service amazing!!! The staff, management outstanding! The food and vibe is chic but understated. Our waiter was Darren 💕the patio is gorgeous and comfy and the music was nicely playing in the background so you could enjoy it but also carry a convo. Love that they brought back the Raw Bar so fresh and yummy! Highly recommend this hidden gem to everyone.",4
"The patio is beautiful. Menu has a great selection, and the burgers are delicious. Overall had a nice experience.",3
"I was here to celebrate my friends birthday
The food was exceptional, but the service was spectacular!!!
Highly recommended",4
"The particular table we were given was in a fairly quiet spot with access to fresh air but not to hot, considering the day.  The waiter was very competent and offered us excellent recommendations.",3
"Always an excellent experience. 
Service is spectacular. 
Food is always good. 
U can not go wrong at The Miller.",4
"The ambience on the patio was great, the service was excellent, the food tasted amazing.........extremely pricey... we were caught off guard with how expensive it has become.",4
Sat on the patio - very nice evening. It did rain but the patio is covered so it was not a problem. Server was very friendly and attentive.,3
We really enjoyed our evening with dinner on the patio.  The food was delicious and the service was great.   We will return.,4
Lovely outdoor patio. Fish and chips and chicken salad sandwich were delicious.,4
Too expensive but great ambiance.  outside better than inside. but bring lots of money. just not worth it.,1
"Our waiter, Peter was amazing.  Great attitude, very attentive.
3 of us had the Wagu Beef Hamburger-so delicious.  Portions are generous.
The other person had salad with chicken and she said that it was really very good.

A relaxing evening on the patio with great food and friends.",4
"Very tasty, whatever you order! We enjoyed the meals, service and ambience.",3
Great location for a nice dinner regardless of the occasion.  The food & drinks are great and the service is excellent.  Decor is on point and the patio is one of the nicest  in the area.,4
"Great food. Service was at the beginning tentative. Our server must be a new team member. 
It is a bit embarrassing for when one of our guests wanted vegetables instead of mashed potatoes with their dinner that the first response is “ there will be an extra charge to substitute “. This puts a guest in a very awkward position. At $45 a plate what is the extra cost to substitute one side for another. This is not exceptional service when consumers these days have allergies or dietary restrictions.",4
Great afternoon! Thank you Craig for being attentive and awesome with our group. Lovely Sunday lunch.,4
We always enjoy the Miller. Absolutely love the patio area and the food is delicious.,4
The patio at the Miller is excellent for summer dining. it is tucked away behind hedges and very private. The food is very good and their hamburgers are terrific. The quality of the house wine is excellent and the wait staff extremely helpful.,3
The revamped dining area is well designed and the food was top notch,4
"We’ve always enjoyed our lunches and dinners at the Miller, but I wish they had a more varied luncheon menu this summer.",3
Beautiful outdoor patio. Delicious food and fantastic service as always!,4
"Our dinner was amazing. The service, food, overall atmosphere was amazing.  Highly recommended.",4
Sat on the patio with a client for a business lunch. Exceptional service from Julie. Casual and classy atmosphere all wrapped into one.,4
"Quite good food but Overpriced. Music was too loud and more suited to a dance club, not good for dining and conversation.",2
"From the time we were seated, it was over 10 minutes before a server appeared, and only after I complained!  Water served was warm - (outside patio temperature) and not 
served with ice. The ambience and renovations to the outside patio are exquisite, but it would appear that the cost of the renovations have been added to the food and liquor prices in one big jump! Outrageous, compared to last year. The food was average, not great but not bad either.
My spouse said she would not be going back there, all things considered.
Significant changes are required, as evidenced by the number of customers present.",1
"Food was flavourful and well presented.  Menu is rather limited, mostly focused on steaks and ala carte options.   Looks like the place is trying to position as a high end steak house unfortunately with prices commensurate with pricey downtown steak houses.   Wine list was limited for a high end restaurant.  Service was good, very attentive.",2
As usual--i live in Hoggs Hollow--your food  was seriously over priced. My bill for 2 smaal enties and one beer was over $100.00 Yopu are a tavern not a hgh -end restaurant!!!!!! I will not eat there again and I can walkto you in 5 minutes from my house. I suppose you must be just arrogantor living in lala land.,1
"The meals were absolutely delicious and our party of 4 truly enjoyed them. Unfortunately, we were dissatisfied with a few things. 

Firstly, my brother-in-law had wanted olives but was told they are not available during dinner. It is hard to understand why as olives are not something that need to be prepared and would not interfere with meal preparation time. Seems a little snooty to be frank; it’s not gauche to have a plate of olives after 6:00! 

Secondly, I had booked the dinner as an anniversary dinner for my in-laws. No mention of the anniversary was made which was disappointing. I did not put a special request in but in other fine restaurants, they at least wish you a happy anniversary and if they are kind, they bring some cookies or even offer a complimentary drink. None of this happened. 

Thirdly, my in-laws arrived and were seated when my husband and I arrived a few minutes late due to an unexpected phone call. I entered the restaurant to find my in-laws as my husband parked our car. As we were waiting for him, a staff member approached us and asked if we wanted to order a drink and I explained that we were waiting for my husband. He repeated his question again and I again mentioned we’re waiting for my husband. Maddeningly, he asked again! I motioned to the empty chair, told him we were a party of four, not three and asked him if he had been drinking himself. How bizarre that he just couldn’t accept or understand that we were waiting a few minutes for my husband to arrive.

The renovations to the restaurant are beautiful but I would have preferred some softer lighting downstairs as it was dinner time. It was quite bright.

Our waiter was professional and generally very attentive. He was not the man that had addressed me earlier about ordering prematurely. 

In short, food was very good with other improvements needed regarding customer experience to have made our experience a superlative one. We left feeling underwhelmed on that front.",2
"Lovely spot, but terribly overpriced 
Shrimp cocktail $44 plus tax and tip makes it $56 for three shrimp.
Plus two salads, two drinks each, all in $260",2
"Great renovations.. love the atmosphere.
Service was excellent.
Outdoor dining is very pleasant .",4
Appreciated waiter turning down volume of music. A nice outdoor patio but very close to road which at times was quite noisy. Otherwise a nice place to dine.,4
The patio is very good and the food fantastic. The server was outsatnding.,4
Food is very pricey and not worth it. You can do better at many other places.,1
Outstanding food and impeccable service.  Our new favourite!,4
"Katie our server was great. Very nice, relaxed evening. Ambience of Miller was good.",4
The food was amazing.  We sat on the balcony.  It was lovely!!!,4
"Always a pleasure to dine here! Excellent service, great food and beautiful ambiance.",3
"Food was great. Mike, our server was very attentive and helpful.
I especially appreciated the level of service; a server poured our wine, no server scooped in to clear plates before all were finished. That is so nice to not feel rushed. Thank you.
Slightly more expensive than I had planned however we felt good about the evening for a 65th birthday, so all good!",4
Food and Service are always good.  Michelle is the waitress for our table and she is the best!,3
What a treat on my husband’s birthday! The food was delicious and we will definitely be back.,4
"A great local, indoor outdoor location with good food, pleasant service, and a nice ambiance",3
"Living northeast of TO, the Miller has long been my first choice when meeting friends who live downtown or in the west end. An easy decision, given the convenient location & parking, and most especially the fantastic food and ambience. GM Andrew Inman is everywhere, making sure that everyone is happy while also overseeing the ongoing yet unobtrusive renovations. Not the cheapest eatery but well worth every penny.",4
"Newly and Nicely Renovated.
Not very many Vegan Options.",3
"We were celebrating our birthdays. We were outside on a lovely day. We had a leisurely lunch.
Our waiter was very nice and left us  alone to chat. He brought us a birthday dessert to share.",4
The service was so great and the food was fantastic!    It made our Birthday celebration special.,4
"Service very good  , restaurant smelled  like dirty dishwater… but most importantly the pricing is ridiculous… they rival Michelin star restaurant prices and is nowhere warranted. It’s cynical. I would never return",2
Good food though pricey. Great service. Love the renovations.,3
"Amazing ssrvice, great food. Perfect for any occasion, comfortable, yet chic. The patio is one of the most beautiful in town.",4
"not impressed with the quality of the food on yesterday's visit.  The food is normally excellent, however yesterday no one in our party wanted to eat their meals.  The burger was dry (over cooked, when asked for med rare).  The wago flat iron steak was also over cooked (asked for med rare), and the steak seasoning was very over powering.  The only thing that tasted good was the salads.   We shared the truffle mac n cheese, and that was also not very appetizing.  We sat in the patio, and it was great.",2
Good service and good food.  Suitable for celebration.,4
"The food was overpriced and underwhelming.  For example, oneof the appetizers was bread and butter for $9.  $40 moules frites?!?",1
"The service was very bad 
Different servers kept going back and forth and kept questioning us .
They took our appetizers which were French onion soup and dinner rolls after 4-5 minutes without even asking if we were finished .
They were so rushing and we felt like they just wanted us to leave .
we asked for a well done steak and they brought the steak medium-rare they took the steak to cook it more but brought it back the same .
I even tipped the server 20% but I have to tell you about the service which was very very bad.",0
"Great food and nice outdoor patio, though a bit pricey. Service was also very good.",3
"We arrived at the restaurant and although there were many tables of 4 empty both on the patio and the upper open seated area (which were still available to reserve on open table), we were seated at a hot, noisy cramped table for 2 beside the door leading in and out of the kitchen. After asking if we could be moved to one of the other available tables, we were told that they were saved for parties of 4 only. After 15 years of being a regular patron from the neighborhood, It is sad that we will likely never return.",0
"Nice patio, amazing service! It was a great experience!",4
"Reno is beautifully done. It was too busy so the service was good. 
The staff were very present and friendly. 
Prices are high and I would not say it is value for the money. 
Rolls were tasteless but the waiter took them off the bill which was good of him. 
Coffee was delicious. 
Toffee cake delicious, chocolate mousse cake mediocre.",2
"Food was okay, ambiance was nice, service was very good, prices were way too high.",2
I have been to Miller Tavern 4 times and everytime I had the pleasure of being served by Michelle. Great server.,4
"Non-existent service and obscenely overpriced food. Bland salad nicoise with a few pieces of tasteless brownish tuna for $40.  The $32 burger tasted ok but was so greasy and soggy the bun immediately fell apart.  Waited for 20 minutes for the menu. After we finished eating, I waited for another 20 minutes and finally had to go looking for a waiter to clear the table.  Never again will I set foot in this place.",0
"Great patio... Best in the city. Great food, staff and location!",4
The Miller is a neighbourhood favourite  but getting very pricey. Many other options close by a better value.,3
The seafood linguini was the best I’ve ever had ever !  I’ve always enjoyed all the entrees but first time trying this one.  They sat the 2 of us overlooking the parking lot when tables of 4 overlooking the patio were empty our entire stay.  The interior dining room was closed.  The smoke bothered me   Next time I’ll sit downstairs if the air is bad,4
"Always the perfect dinner experience. 
Never, and I mean never fails to satisfy. 
Even during the renovations, it always felt like The Miller. 
Thanks to delightful Michelle and the rest of the staff. 
U should visit soon. It’s all open again and looks so good. I’m",4
Nice place we sat on the patio this time. Really enjoyed it.,4
Beautiful spot to meet friends but very pricey after 4pm ( no happy hour any more),4
"We usually love The Miller but they definitely had an off day today. Haven't been there since last summer and we usually love their patio. One of the nicest in the city. However due to the air quality because of the forest fires we chose to eat inside today.

We were seated downstairs even though the reservation was upstairs. Chairs and booth were very comfortable, but noise level was high. 5 women, of which 4 ordered the fish 'n chips and 1 ordered the chicken club sandwich with bacon well done. Very simple order. It took quite a while for the food to come out and the chicken sandwich had to be sent back because of course, the bacon wasn't even close to well done.

While the other 4 women ate their lunch, the  other one sat there and watched. By the time the sandwich came out the rest of the women were almost done.

Cappuccinos all arrived so cold and we refused them.

Prices have increased substantially from last year, which is in line with everything going up.

I will go back, assuming this was an ""off"" day. We were looking forward to a lovely upscale lunch and were quite disappointed.",2
"First off, the service was great. I mean really REALLY great. Our server was outstanding.  The food was OK. The club sandwich was advertised as grilled chicken, bacon, etc but what came was chicken salad. The bread was thick sliced and difficult to eat and the chicken salad just gushed out of the sandwich.  However, the big challenge was the music. It was too loud to have a conversation. It was completely frustrating.",3
"Excellent cob salad, very fast service, pleasant ambiance...all in all - fantastic experience.
I went there many times; always good experience.
Will come back...more often!!",4
"Our server was so friendly and on the ball.  Very attentive. 
Our little group (3) enjoyed our meal, service and ambiance.",4
"We had Salad and Appi and both were great, would recommend Miller for sure",4
"Despite the circumstances of the day's events that prevented us to celebrate our party till  the birthday cake , it is always a pleasure to come to the Miller tavern.

Wonderful place managed by a kind and professional team.",4
"Beautiful restaurant, food is five star but very pricey. Our server was amazing!",3
"Ordered four steaks at 50.00 each.  Three came out perfect at med rare.  The fourth was over cooked med well.

I sent it back, 8 min later which doesn't sound like a long time but when you're sitting just waiting it's an eternity.

The waitress brings back the steak and said the chef says its cook perfectly. 

WIAT WHAT

I look at her and said, look at the other three steaks on the table that's how they should be cooked.

She leaves to get a manager.  Another nine mins pass.  Everyone else at the table has now finished their meals.

The manager comes back very rudely says ""we put it under the light and it's cooked perfectly"".  At this point I can no longer show him the other steaks as everyone else has finished eating 

I told the manager I should the waitress the other three and they did not look like that.

He was very rude and short and said here.  Here is another one that is less cooked.

That steak was rare and not enjoyable I had two bites .

They took the steak off the bill thinking that would satisfy me.  Incorrect.  It's not the money that was the problem.  It was the service and attitude received from the manager.

The waitress forgot several item's.  Maybe because she was flustered from the chef and manager I dot know.

The Miller use to be a great experience.  It pails in comparison to days past.",0
We had dinner on the beautiful patio. A wonderful way to celebrate a friends retirement and welcome in patio season!,4
"Great service
Nice ambience with a nice renovation
Good food but small servings
Very very very over -priced  for what you get",2
"Service was good but they were a bit slow bringing our drinks.
Food was good but the salads had more 'off' bits in them than I think they should have.
Great ambience and servers!
June",3
Was a great place to celebrate our anniversary.  Our server was great and the food was amazing.  Thank you for the great experience!,4
"Absurdly expensive for what we got. I’m not one to complain but the seafood tower for $170.00 was a joke. Our bill for my daughter and I with no alcoholic beverages after tip was almost $300.00. They brought everything out at once and we were at a small two person table. We asked them to take some stuff back until we were ready. I’ll give it to them, beautiful restaurant, but I’ll never go back. I should have taken a picture of the platter so I could show. I have NEVER taken the time to write a review, EVER, but this was a joke. Very disappointed!",1
Always consistently top notch food and service.  Thankfully over the years the Miller Tavern team keep things consistent.,4
"Good.  
Staff was excellent.  
Time to receive food was somewhat slow.  

Lunch menu should be updated.",3
"It was empty, no people. Desert menu very limited.",2
Good place to meet friends.  The outside patio is very comfortable,3
Food was excellent.  Waitress was very friendly.  It took a while to get our drinks,4
"My family of 8 had dinner on the beautiful, inviting patio.  The ambience was excellent, and the server was friendly and knowledgeable.  The food was presented nicely and was good.  The menu could offer a few more items.  Very pricey.",4
Ambiance was good but food menus can be more inclusive to people to special eating diet,1
"A must try if you are in the neighborhood. Great food, great service. Awesome neighborhood gem of a restaurant. All newly renovated with a great outdoor patio and indoor glass room (with windows that open) patio. Highly recommend to everyone.",4
"The lobsters were very small.  One grilled  and the other one broiled, both tasted good.  Our sirloin was a bit overcooked, but the quality of the sirloin was good, still tender but a bit dry.
Desserts were the highlight of the evening.  Mango sorbet, was like a frozen mango made into a slushy ice scoop.  The toffee pudding and pavlova were delicious.  Desserts portions were big.  Enjoyed the environment and the service.",2
"After hit and miss visits to The Miller (with our last experience being so poor that we decided to not return again), when we heard that there had been a change to management/menu, we decided to give them another chance… and are so glad we did!!  Both our servers (Michelle & Greg) delivered exceptional service, going above and beyond to ensure we were well-taken care of.  The food was delicious - serving sizes were more than ample!  The physical updates to the restaurant were also noted/appreciated - the integrity of the building has been kept with subtle updates that were inviting & made us feel welcome.  We definitely will be back!",4
"The Miller is a wonderful local restaurant to meet family or friends!
Great menu, atmosphere and servers.
Our balcony/window was a pleasant option and not crowded.",3
Fantastic evening! Fabulous place to celebrate my birthday. Food was delicious and the service delightful. The entire restaurant has been beautifully renovated. Highly recommend the Miller for any occasion or anytime.,4
"The Miller continues to provide exemplary service and meals. Our server was very attentive, paying attention to the smallest details. Our compliments to the chef, the food was delicious. Andrew, the general manager, was also very present making sure that our table and others were being taken care of. Looking forward to going back again and enjoying the beautiful patio. Cheers",4
Service was a little slow.  Seemed to be short staffed but the servers that were available were extremely pleasant and helpful.  Food was very good.,3
"Great patio, menu and service. The new renovation downstairs that I saw…fantastic !",4
"Server good, but service slow. Had to wait long time for mains.
Music way too loud, had to ask for it to be turned down to hear each other speak.
Food generally okay, but frites were not.
Seemed less than good value.
Would recommend with cautionary comments.",3
"Been at this place many times and always happy , but this time it was much different . No comments about food, but it didn’t match the price at all. Server came up once and then was chairing to everyone at the bar.
No one gave wifi password when asked 5 times.
A lot of attitude.
Not coming back anymore .",1
The food was very delicious as well as the ambiance I was served by Andri ( he was amazing ),4
Food was disappointing for price. Service excellent.,3
A very expensive restaurant with average food. Not sure why the cocktails here are near 20 dollars.,1
It was a great experience. We had a wonderful waitress. I’m looking forward to dining there again.,3
Never going back again - not a good quality of food even after paying amount higher than everywhere else.,0
"Excellent food, patio atmosphere and wonderful service.",4
As always we had a great time. It was a nice day so we ate outdoors. The servers were attentive and friendly. We will be back!!,3
It’s beautifully renovated but quite expensive for lunch.,4
Very good food but at the prices for the mains they should include sides. We weren’t offered to add sides at the time of ordering.,3
"We dined on a Saturday lunch on outdoor patio. It was a very beautiful patio tucked in quiet side even it’s by busy Yonge Street. We feel breezy and relaxing. Personally I like to sit under the Sun but I’m okay sit under shades as well. You’ll be surrounded by greens, trees, and flowers. Our server Dave he was very attentive and gave out his good recommendations on drinks and daily specials.
For the food, I love the Dinner Rolls with butter on the side. I know it is a bit off to order breads and it’s not comes free. Trust me, they are worthy. 4 little squares buns they are fluffy and deliciously made to order hot 😌 very yummy. I will order that every time I’m here. Steaks are pretty good quality AND taste, considering it’s not a steakhouse but it’s in line with most good steakhouses in town. Oysters were Raspberry Bay that day, very fresh. Dave told us about very soon they will have an oysters bar in the restaurant. Spring Leek Tart was beautiful to look at and delicious in mouth. I’m also in love with the Whole Branzino. It’s big and lay out like a butterfly, skin on top was cooked to crisp and fish was juicy and melted in mouth. It’s not fishy at all. Be careful there still little bonks in centre line of the fish. The cocktail menu was good and mix with top shelve booze. All and all, a very great experience and we are definitely going back for a steak dinner next time.
Price on a high side for sure, but considering the location (next to Rosedale Golf Club) and recently renovated + inflation like most restaurants we dined at…I understand.
Make sure you book for out door or upstairs Window balcony if you are making reservations, because those are very beautiful. I personally don’t like downstairs main dining room, even it’s renovated but I feel like a basement (no windows) to me.
If you like to just relax and have few drinks and nice meals in a beautiful setting, this is the place to be.",4
Wow! We were seated on the beautiful patio. The service was impeccable. All the food was delicious. Such a fabulous experience. A great way to kick off the summer. We took a peek at the newly renovated indoor dining rooms both upstairs and downstairs…beautiful.,4
"Lovely setting. You can easily forget you are a very short distance from major traffic. Good food. Attentive wait staff. A bit expensive, but the ambience and the good service make it worthwhile. We will be back.",3
We have been to the Millar so many times.  The patio is the perfect place to wind down after a long day. But the prices are really out of whack.  $30 for a glass of wine and $30 for a salad.  $32  for a burger.    As much as I like it I won’t be going back for a long while,3
"The service we received was extremely poorly!!!
Steaks not done right they were cold!
Waiting for the waiter to come to the table. Not friendly at all. It felt we were not welcomed at all!! Been there before and wanted my family to have the great experience we have had before! But this was truly a disaster! Had to apologize to my daughter for it was her birthday and she had come out with her 7 month baby! Not sure why but our guess is because we were seated inside???The manager was not helpful either. Replaced the steaks but now the sides were cold!!! No curtsy was shown nor were they apologetic!! I would think twice going there!!!😡",1
"The food is exceptional, the menu variety is great and all the ingredients and premium and fresh. Service goes above and beyond to round out the experience, and the wine list is extensive. Patio is unlike any other in the area.",4
"Very nice place, good service, good food but expensive. Outdoor patio quite noisy.",3
"the service, amazing. the food, amazing. the place is STUNNING",4
"Very expensive, limited menu but quality is good.  Beautiful patio.  Wait staff is polished and knowledgeable.",3
Overpriced and conceited waiter.  But great food and  lovely patio,1
The music blasting thru the speakers was so loud - honestly made me wonder if you are now a bar instead of a restaurant … the menu was quite limited - I hadn’t realized it had changed so much,2
